0,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\component\JiraAPI.java,53,60
1,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\component\JiraAPI.java,62,67
2,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\component\JiraAPI.java,69,81
3,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\component\JiraAPI.java,108,120
4,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\config\Swagger2.java,67,90
5,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\config\Swagger2.java,120,154
6,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\controller\JiraController.java,40,45
7,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\controller\JiraController.java,53,61
8,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\domain\JiraMeasure.java,23,67
9,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\domain\taskinfo\Status.java,17,33
10,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\domain\TeamJiraMeasure.java,16,37
11,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,36,44
12,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,47,79
13,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,86,166
14,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,179,193
15,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\service\impl\JiraServiceImpl.java,244,405
16,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\util\JiraUtil.java,49,69
17,C:\Users\86189\Desktop\jira\code-wisdom-jira\src\main\java\cn\edu\fudan\codewisdom\jira\util\JiraUtil.java,71,90
