53,60,-2147483647,-2147483588,0,0
62,67,-2147483588,-2147483536,0,1
69,81,-2147483536,-2147483457,0,2
108,120,-2147483457,-2147483378,0,3
67,90,-2147483378,-2147483256,2,4
120,154,-2147483256,-2147483035,2,5
40,45,-2147483035,-2147482973,3,6
53,61,-2147482973,-2147482923,3,7
23,67,-2147482923,-2147482640,9,8
17,33,-2147482640,-2147482560,19,9
16,37,-2147482560,-2147482467,22,10
36,44,-2147482467,-2147482398,29,11
47,79,-2147482398,-2147482211,29,12
86,166,-2147482211,-2147481752,29,13
179,193,-2147481752,-2147481655,29,14
244,405,-2147481655,-2147480330,29,15
49,69,-2147480330,-2147480213,33,16
71,90,-2147480213,-2147480108,33,17
